# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x462s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_data_2.R
# init = 2 (Default)
# random
#   seed = 2827660791 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 fa623df
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,b.6,log_sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,sigma
# Adaptation terminated
# Step size = 0.000333031
# Diagonal elements of inverse mass matrix:
# 0.00454713, 0.00575776, 0.130052, 0.0411909, 0.267403, 0.0182197, 0.0451125, 8.26565e-05
-4.62401,0.999923,0.000333031,10,1023,0,9.57899,0.496499,0.866133,1.75195,-0.572204,-3.54781,-0.373217,1.65733,1.07829,0.326241,0.335472,0.455299,0.385045,0.557445,0.644479,1.0003,4.37529,5.77279,4.05699,5.60047,5.90556,5.73981,5.9449,0.001
-3.01515,0.983311,0.000333031,5,47,0,10.4287,0.495662,0.865983,1.75061,-0.571151,-3.54612,-0.373039,1.65656,1.07833,0.324612,0.333461,0.452929,0.384058,0.557015,0.645345,0.999455,5.97478,5.07288,5.90689,4.24499,5.98857,5.97609,5.84037,0.001
-3.93664,0.522807,0.000333031,10,1023,0,9.75201,0.504027,0.874393,1.72178,-0.591905,-3.51249,-0.361328,1.64377,1.07574,0.324904,0.334447,0.453878,0.386983,0.556606,0.647525,1.00051,5.88325,5.921,5.84046,5.43054,5.89575,3.25204,5.85829,0.001
-3.73126,0.999388,0.000333031,10,1023,0,11.4192,0.504257,0.879976,1.72239,-0.610656,-3.50782,-0.348158,1.63734,1.07424,0.32653,0.335475,0.45266,0.386155,0.556035,0.645559,1.00091,3.81444,5.77058,5.76234,5.96269,5.48636,5.9189,5.57126,0.001
-5.35095,0.93544,0.000333031,9,511,0,9.69167,0.508897,0.875348,1.69522,-0.598449,-3.4728,-0.354139,1.62669,1.07356,0.324744,0.334402,0.45307,0.388881,0.557543,0.644182,0.999565,5.94389,5.90356,5.95416,1.62246,5.86095,5.48596,5.89399,0.001
-4.39711,0.871246,0.000333031,10,1023,0,10.5666,0.497285,0.872353,1.74393,-0.585488,-3.53424,-0.365447,1.65067,1.0748,0.324878,0.334652,0.454203,0.383304,0.557623,0.645289,1.00063,5.89486,5.97549,5.61062,2.55027,5.81693,5.98347,5.79045,0.001
