# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = m7x469s_model
# start_datetime = 2021-10-05 18:55:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_data_4.R
# init = 2 (Default)
# random
#   seed = 1492737655 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 eeb5e39
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100
# Adaptation terminated
# Step size = 0.673504
# Diagonal elements of inverse mass matrix:
# 0.00878809, 0.00947972, 0.00673792, 0.00815603, 0.00852566, 0.00790409, 0.00524592
-32.9851,0.927818,0.673504,3,7,0,34.9147,0.0652644,0.212929,-0.415118,-0.0986495,-0.0569404,-0.0174223,0.813763,-0.346621,-0.171407,-0.674574,0.666465,0.682793,0.230596,-0.857059,-0.622569,-0.103016,-0.692468,0.710616,0.603469,-0.355699,-0.162902,0.336434,-0.0444902,-0.235277,0.227457,-0.357521,-0.0993753,0.165057,-0.098729,-0.736269,-1.19243,0.495965,-0.821603,-0.287721,-0.668247,0.264775,0.0228283,-0.101526,-0.157971,-0.269405,-0.791871,0.83118,0.646381,-0.275732,-0.173493,-0.300664,0.0348203,0.127373,0.106667,0.268306,0.148324,0.14604,-0.273984,-0.587431,0.20941,0.0958504,0.134681,-0.0930921,-1.08032,-0.34286,0.514978,-0.117051,-0.706042,0.0240206,-0.286911,0.000584544,-0.224268,0.126337,-0.664964,0.0570924,0.688335,-0.167795,0.0168629,-0.0188062,0.582198,0.377691,0.240246,0.048336,0.474982,-0.147496,-0.366798,-0.375105,0.202046,-0.145689,0.756113,-0.362269,0.107003,-0.367218,-0.0411934,-0.396442,0.173828,-0.289632,0.0884656,-0.310693,-0.366567,0.173413,-0.152808,-0.0557029,0.251253,-0.66261,0.329819,0.282311,0.567009,-1.03274,-0.74252,0.405805,1.04975
-34.8533,0.84978,0.673504,3,7,0,37.7956,0.0860685,0.0599624,-0.35086,-0.0809609,-0.101964,0.0280068,0.814096,-0.264419,-0.0123952,-0.397517,0.494817,0.783861,0.185414,-0.635529,-0.411666,-0.213952,-0.328773,0.78207,0.600386,-0.196208,-0.127336,0.0974807,0.0796122,-0.299576,0.328618,-0.363384,-0.0751775,0.224824,0.0163284,-0.449461,-0.906463,0.271043,-0.609629,-0.249455,-0.488452,0.0197555,-0.1432,-0.106201,0.0342304,-0.16622,-0.749385,0.643744,0.639057,0.285625,-0.0992004,-0.160356,-0.0859294,0.141179,0.0536705,0.0524452,0.0463331,-0.0579394,-0.30288,-0.333558,0.0141554,-0.0744237,0.0606033,-0.073989,-0.929275,-0.246284,0.380942,0.0964596,-0.616712,0.0810303,-0.246787,0.0533931,-0.0746295,0.138153,-0.602025,0.198655,0.554249,-0.0256292,0.297328,0.203156,0.587911,0.397242,0.345721,0.154295,0.336139,-0.198466,-0.201013,-0.406392,0.104552,0.0339622,0.658654,-0.20854,0.0850935,-0.29586,0.162591,-0.375643,0.391279,-0.168346,0.191037,-0.0673712,-0.0992626,0.149386,0.239851,0.00182689,0.25844,-0.549275,0.153979,0.19035,0.454526,-0.682784,-0.587022,0.27969,1.12578
-39.3222,0.901042,0.673504,3,7,0,42.9278,0.0526686,0.391364,-0.177448,0.046672,0.0103725,-0.0760261,0.736121,-0.111979,-0.441095,-0.477377,0.691196,-0.146127,0.18358,-0.279311,-0.509205,0.422006,-0.745796,-0.0430249,0.207885,-0.118626,0.040639,0.720223,-0.380949,0.281445,-0.385624,0.20865,-0.00872313,0.0019939,-0.393155,-0.473604,-0.686625,0.742721,-0.647257,-0.0812205,-0.508286,0.902038,0.48963,0.197536,-0.170722,-0.181588,-0.344867,0.49691,0.333784,-1.41253,-0.134752,-0.32213,0.29531,0.18607,0.434845,0.431006,0.29461,0.441766,0.0787217,-0.604975,0.34359,0.64646,0.298007,-0.0986097,-0.385008,-0.1447,0.241079,-0.324848,-0.212346,-0.143501,-0.0590893,0.0290274,-0.403522,-0.15219,-0.126341,-0.222846,0.47554,-0.194544,-0.502102,-0.595941,0.152693,0.23352,-0.271147,-0.234968,0.278014,0.269639,-0.406296,0.121085,0.504863,-0.251574,0.33069,-0.207684,0.0774451,-0.139257,-0.495898,0.105775,-0.261443,-0.141754,-0.116725,-0.355415,-0.403872,-0.0363458,-0.663763,-0.0530647,0.0651077,-0.0412998,0.298295,0.506461,0.549191,-0.575398,-0.242083,0.300157,0.0650781
-37.6021,0.920918,0.673504,3,7,0,45.7955,-0.0563378,0.469401,-0.305733,-0.0175839,-0.0188821,0.0580436,0.765318,-0.531684,-0.393605,-0.874818,0.710291,-0.131106,0.188134,-0.516429,-0.76704,0.148965,-1.1109,-0.0405556,0.411206,-0.336544,-0.139539,0.73774,-0.548249,-0.169317,-0.285243,0.285482,-0.0618226,-0.135489,-0.310188,-0.802448,-1.24721,0.615625,-0.992684,-0.122589,-1.13511,0.922607,0.531021,0.158841,-0.257535,-0.627626,-0.834601,0.614808,0.366924,-1.49983,-0.230847,-0.652747,0.0196246,-0.0913105,0.572291,0.367217,-0.0767992,0.238237,-0.0724143,-0.990637,0.326903,0.652295,0.367827,-0.17556,-0.928959,-0.465066,0.632265,-0.446893,-0.697571,-0.0409567,-0.424649,-0.0566731,-0.466297,-0.341425,-0.504712,-0.263738,0.409808,-0.340921,-0.662261,-0.746828,0.159976,0.424697,-0.280243,-0.631204,0.355297,0.0436838,-0.733619,-0.118033,0.548973,-0.272323,0.484807,-0.287251,-0.13917,-0.562639,-0.437334,-0.412612,-0.374522,-0.358615,-0.254208,-0.586906,-0.509423,-0.10862,-0.708585,-0.173674,-0.1592,-0.482096,0.132092,0.444024,0.98054,-1.01982,-0.426386,0.281587,0.208532
-33.4564,1,0.673504,2,3,0,39.2235,-0.000789669,0.41686,-0.311083,0.0816623,-0.0558877,0.102543,0.843839,-0.475477,-0.411445,-0.613716,0.839024,-0.0946145,0.303723,-0.219014,-0.771036,0.144907,-0.875771,0.0297275,0.501447,-0.0264603,-0.115263,0.716899,-0.485725,-0.0888564,-0.391347,0.211785,-0.0427807,-0.0526161,-0.305126,-0.585121,-1.16565,0.636665,-1.08802,-0.127098,-1.15126,1.005,0.524959,0.313388,-0.0986684,-0.533002,-0.960385,0.593922,0.557619,-1.33221,-0.233219,-0.666652,0.00923484,-0.0130201,0.861515,0.254167,-0.198506,0.0557882,-0.0538703,-0.889331,0.130358,0.766451,0.445409,-0.222857,-0.831004,-0.352298,0.428248,-0.189093,-0.539502,-0.0588663,-0.370227,0.0178206,-0.526877,-0.345445,-0.527813,-0.180899,0.474864,-0.16464,-0.411406,-0.747965,0.28583,0.581125,-0.242148,-0.533185,0.140775,-0.00861418,-0.72744,-0.0148763,0.663839,-0.0748628,0.550865,-0.157728,-0.0434556,-0.483872,-0.415018,-0.332689,-0.18783,-0.155573,-0.108299,-0.383557,-0.297206,-0.225934,-0.41398,-0.134205,-0.0872436,-0.273667,0.113866,0.532725,1.01902,-0.82009,-0.243383,0.175049,0.329234
-33.1753,0.909099,0.673504,3,7,0,37.593,0.0681759,0.162814,-0.508489,0.01489,-0.0532987,0.0783266,0.774145,-0.480516,-0.213473,-0.517341,0.839757,0.723925,0.470024,-0.630277,-0.838282,-0.311421,-0.559934,0.809492,0.753204,-0.0312935,-0.304049,0.269878,0.0839102,-0.301869,0.133691,-0.722054,-0.134666,0.182005,-0.00253349,-0.69542,-1.38514,0.445445,-1.17198,-0.363294,-0.946906,0.279183,-0.00810145,0.0649901,-0.160046,-0.302444,-1.10189,0.922146,0.879242,-0.0601714,-0.289585,-0.519909,-0.0329006,0.0355777,0.563326,0.164405,-0.240418,-0.2128,-0.304048,-0.612535,-0.0525978,0.207974,0.262297,-0.193136,-1.15477,-0.322236,0.326945,0.192748,-0.586637,0.00264519,-0.345125,-0.0117485,-0.414302,0.185294,-0.943218,0.0908027,0.794911,0.000495868,0.307718,-0.0801206,0.783769,0.572623,0.33457,0.113867,0.144897,-0.470265,-0.532442,-0.278099,0.284777,0.0685581,0.977135,-0.32105,0.261414,-0.399497,-0.0355092,-0.554619,0.283961,-0.0886222,0.244706,-0.227206,-0.247757,-0.00764179,0.120396,-0.10197,0.301541,-0.626701,0.443879,0.266362,0.62144,-1.16409,-0.621196,0.238604,1.23213
