# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x462s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_data_1.R
# init = 2 (Default)
# random
#   seed = 2827660790 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 fa623df
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,b.6,log_sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,sigma
# Adaptation terminated
# Step size = 0.00222386
# Diagonal elements of inverse mass matrix:
# 7.83797e-05, 0.000220577, 0.00176359, 0.00151548, 0.0039157, 0.000637084, 0.000807966, 0.000210938
-3.29426,0.995946,0.00222386,10,1023,0,11.4991,0.50926,0.88025,1.69651,-0.604323,-3.47919,-0.354175,1.63092,1.90653,0.323454,0.333907,0.453711,0.387805,0.556931,0.645833,1.0007,5.49839,5.57682,5.91739,4.22386,5.98317,5.7789,5.74351,0.001
-2.62085,0.997699,0.00222386,8,255,0,11.2566,0.507018,0.877503,1.698,-0.599945,-3.4775,-0.355973,1.63017,1.90655,0.323158,0.333976,0.454101,0.386595,0.556384,0.645582,0.998965,5.16074,5.63714,5.69383,5.76497,5.77567,5.90991,5.45308,0.001
-6.67696,0.871208,0.00222386,9,511,0,9.12499,0.502861,0.881952,1.72708,-0.615886,-3.51397,-0.345765,1.63905,1.91589,0.326343,0.335359,0.452343,0.384799,0.55458,0.644294,1.00042,4.18585,5.84098,5.49877,5.35407,2.96918,5.59154,5.90085,0.001
-2.2669,0.8383,0.00222386,8,255,0,12.4455,0.506674,0.877047,1.70538,-0.60191,-3.48598,-0.353267,1.63158,1.91132,0.324994,0.334863,0.453627,0.387341,0.556912,0.646565,0.999823,5.8377,5.98767,5.94558,4.98757,5.98099,5.03703,5.97319,0.001
-5.47009,0.994814,0.00222386,9,895,0,8.0904,0.501773,0.873579,1.72804,-0.595859,-3.51763,-0.35708,1.64347,1.92277,0.325778,0.334694,0.452812,0.385944,0.554771,0.646667,0.998839,5.09897,5.98146,5.85315,5.98866,3.42022,4.89129,5.31441,0.001
-4.53883,0.977712,0.00222386,8,319,0,9.22603,0.500857,0.870025,1.72189,-0.583095,-3.50599,-0.365724,1.64156,1.92041,0.324207,0.334722,0.455187,0.385137,0.556756,0.646502,0.998283,5.96067,5.98453,4.27001,5.67791,5.94939,5.12221,4.51407,0.001
-3.13399,0.987534,0.00222386,10,1023,0,6.98121,0.506228,0.879686,1.69617,-0.607237,-3.46545,-0.349208,1.6219,1.88421,0.323657,0.334489,0.453436,0.385272,0.558428,0.643517,0.999553,5.67888,5.93589,5.98352,5.77487,5.02167,4.59807,5.88876,0.001
-4.12907,0.993993,0.00222386,10,1023,0,6.48761,0.505854,0.874149,1.712,-0.593494,-3.49447,-0.357748,1.63485,1.84953,0.32536,0.334628,0.45317,0.387943,0.558531,0.645534,1.00086,5.56998,5.97131,5.97544,3.95374,4.87263,5.92813,5.61672,0.001
-7.44264,0.945668,0.00222386,7,223,0,11.0962,0.506409,0.878629,1.70857,-0.592825,-3.49919,-0.364833,1.642,1.84784,0.321915,0.333171,0.455058,0.386339,0.557132,0.645958,1.00136,2.79001,4.63802,4.50241,5.90358,5.98427,5.68999,5.06638,0.001
-3.87613,0.880752,0.00222386,10,1023,0,10.6742,0.509158,0.890266,1.69144,-0.627552,-3.46593,-0.341739,1.62315,1.86534,0.32304,0.334964,0.454749,0.384631,0.556663,0.645265,1.00132,5.00247,5.97771,4.98687,5.15079,5.91871,5.9856,5.11754,0.001
-3.84702,0.911788,0.00222386,10,1023,0,9.51434,0.508346,0.88388,1.69829,-0.622817,-3.47326,-0.339172,1.62272,1.85607,0.325585,0.335011,0.45176,0.3867,0.555627,0.644168,0.999734,5.3383,5.96951,4.75136,5.6894,4.99539,5.47156,5.95353,0.001
-2.6012,0.999684,0.00222386,8,447,0,6.40102,0.508837,0.880071,1.69414,-0.610295,-3.47037,-0.347332,1.62452,1.85631,0.324413,0.334258,0.452435,0.387522,0.556619,0.64616,0.999527,5.98833,5.83391,5.5849,4.71508,5.90155,5.51395,5.87696,0.001
-3.63452,0.923721,0.00222386,10,1023,0,4.99947,0.501891,0.869832,1.72485,-0.586672,-3.50809,-0.360935,1.63964,1.87383,0.3263,0.335448,0.4539,0.386743,0.557819,0.646346,0.999464,4.26764,5.78862,5.82828,5.6554,5.6828,5.31538,5.84508,0.001
-2.20219,0.849991,0.00222386,8,511,0,6.2571,0.502384,0.872487,1.71614,-0.587417,-3.49707,-0.362731,1.63706,1.87246,0.323788,0.334176,0.454181,0.385331,0.557941,0.644167,0.99933,5.77319,5.78476,5.62992,5.812,5.58066,5.47022,5.76424,0.001
-0.856381,0.993034,0.00222386,10,1023,0,5.05545,0.506431,0.877875,1.705,-0.604344,-3.48344,-0.351445,1.62964,1.8728,0.325007,0.33488,0.453346,0.386893,0.557057,0.644693,0.999843,5.83079,5.98667,5.98873,5.52129,5.98862,5.86756,5.97648,0.001
-1.5523,0.999403,0.00222386,5,31,0,4.24582,0.50639,0.877716,1.70414,-0.604695,-3.48368,-0.351553,1.63024,1.87282,0.324806,0.334782,0.453436,0.386809,0.555985,0.644979,0.999081,5.92358,5.98828,5.9835,5.59927,5.43574,5.96764,5.56622,0.001
-3.15531,0.974377,0.00222386,4,31,0,7.75936,0.506221,0.878161,1.70468,-0.603576,-3.48366,-0.351454,1.62968,1.87304,0.323946,0.333421,0.451556,0.386493,0.557295,0.645799,0.999915,5.86479,5.01717,4.41022,5.82816,5.95549,5.80015,5.98522,0.001
-1.44895,0.999994,0.00222386,10,1023,0,4.83942,0.506931,0.882182,1.7015,-0.61449,-3.47903,-0.345707,1.62708,1.85396,0.324232,0.334187,0.452229,0.385879,0.556057,0.645253,0.999712,5.96622,5.79192,5.37952,5.9877,5.50823,5.98654,5.94725,0.001
-1.39103,0.969947,0.00222386,10,1023,0,4.17803,0.50713,0.880454,1.70068,-0.611545,-3.47732,-0.34758,1.62704,1.84619,0.32504,0.335403,0.453992,0.386497,0.556218,0.645585,0.999451,5.81144,5.81567,5.77222,5.8258,5.65312,5.90883,5.83814,0.001
-3.20547,0.957176,0.00222386,10,1023,0,6.82561,0.509148,0.887098,1.68668,-0.632135,-3.44794,-0.332242,1.61084,1.81998,0.325924,0.336629,0.453527,0.385602,0.557765,0.644926,0.999923,4.89487,4.34317,5.97015,5.93629,5.72395,5.95517,5.98583,0.001
-4.01812,0.995178,0.00222386,10,1023,0,8.08801,0.512108,0.883979,1.6778,-0.61701,-3.45058,-0.344654,1.61799,1.82371,0.322955,0.333749,0.45283,0.387817,0.556395,0.645119,0.999499,4.87986,5.42055,5.86235,4.20128,5.78281,5.9866,5.86332,0.001
-2.07988,0.967447,0.00222386,8,255,0,8.83053,0.510307,0.884765,1.68393,-0.617972,-3.45551,-0.344055,1.61897,1.82547,0.322953,0.333838,0.452772,0.386509,0.557218,0.645507,1.00005,4.87644,5.51167,5.8314,5.81875,5.97246,5.93695,5.98762,0.001
-3.17194,0.896208,0.00222386,10,1023,0,7.9094,0.51638,0.893643,1.658,-0.644817,-3.41874,-0.326929,1.60225,1.80423,0.323957,0.335614,0.453623,0.387672,0.556086,0.646276,0.99976,5.86995,5.66909,5.947,4.46485,5.5365,5.39406,5.96009,0.001
-3.44149,0.999539,0.00222386,9,511,0,7.60247,0.516064,0.891611,1.65078,-0.645264,-3.39972,-0.32249,1.59178,1.8029,0.324445,0.335781,0.452497,0.387441,0.557594,0.64429,0.998711,5.98882,5.52175,5.63948,4.84083,5.83381,5.588,5.15832,0.001
-3.03779,0.919724,0.00222386,9,1023,0,5.39928,0.514284,0.898846,1.66256,-0.654148,-3.41906,-0.322293,1.60064,1.80909,0.323183,0.33559,0.45363,0.384701,0.557226,0.646315,1.00089,5.19322,5.68838,5.94484,5.23852,5.971,5.35081,5.58903,0.001
-3.28938,0.995603,0.00222386,8,383,0,8.14779,0.515551,0.894735,1.66134,-0.647852,-3.41703,-0.323107,1.59882,1.80492,0.324508,0.335629,0.452377,0.38704,0.558378,0.645928,1.00111,5.9868,5.65771,5.53192,5.3687,5.08923,5.71278,5.37691,0.001
-6.06308,0.999835,0.00222386,9,1023,0,11.1522,0.514754,0.886277,1.65908,-0.62813,-3.41368,-0.33349,1.59948,1.80299,0.323966,0.334978,0.452584,0.3882,0.559167,0.644083,0.999545,5.87454,5.97545,5.70797,3.40414,3.72129,5.38147,5.88516,0.001
-9.56876,0.991112,0.00222386,10,1023,0,16.2602,0.52161,0.898833,1.6203,-0.661819,-3.35228,-0.310696,1.57144,1.84553,0.323243,0.335647,0.45211,0.387786,0.560467,0.64528,0.999694,5.26732,5.64295,5.24091,4.25864,0.105414,5.98434,5.942,0.001
-6.80171,0.996569,0.00222386,5,31,0,11.5215,0.521282,0.898824,1.61964,-0.662582,-3.35173,-0.311369,1.57211,1.8457,0.323431,0.336587,0.453885,0.387426,0.559341,0.645295,0.998825,5.47484,4.41904,5.83638,4.86365,3.33356,5.98281,5.29831,0.001
-7.22766,0.99281,0.00222386,8,255,0,9.01193,0.521677,0.901165,1.61881,-0.663885,-3.35381,-0.311843,1.57371,1.84676,0.321843,0.334933,0.452445,0.386885,0.559358,0.645601,0.999524,2.6049,5.98179,5.59413,5.52897,3.29533,5.90217,5.87548,0.001
-5.72494,0.999999,0.00222386,10,1023,0,10.8091,0.515486,0.906186,1.66271,-0.671457,-3.41985,-0.312806,1.59884,1.82388,0.323531,0.335761,0.452735,0.384004,0.556467,0.645577,1.00224,5.5719,5.54093,5.80989,4.14189,5.82626,5.91188,3.48608,0.001
-3.11523,0.888029,0.00222386,9,1023,0,11.3341,0.519321,0.899153,1.6404,-0.661397,-3.38734,-0.314323,1.58634,1.80613,0.324157,0.336056,0.452698,0.387488,0.557412,0.643985,1.00002,5.94742,5.21846,5.7867,4.7686,5.91861,5.26837,5.98864,0.001
-1.93386,0.999584,0.00222386,10,1023,0,6.61693,0.516174,0.897583,1.65652,-0.657325,-3.4091,-0.3174,1.59477,1.82761,0.324848,0.336395,0.452936,0.386533,0.55716,0.645778,1.00036,5.90739,4.74081,5.91003,5.80458,5.98126,5.81286,5.9223,0.001
-1.84954,0.989503,0.00222386,10,1023,0,4.42931,0.517128,0.90033,1.64704,-0.660876,-3.39623,-0.316792,1.59095,1.842,0.323303,0.336032,0.453783,0.385599,0.557147,0.645821,1.00009,5.3377,5.24823,5.88771,5.93543,5.98274,5.78666,5.98449,0.001
-6.05486,0.764283,0.00222386,9,623,0,8.64801,0.515167,0.901241,1.66049,-0.661692,-3.41438,-0.317369,1.59759,1.84178,0.32414,0.336655,0.454223,0.384844,0.557434,0.647297,1.00137,5.94253,4.29543,5.59313,5.40363,5.91005,3.75882,5.05497,0.001
-8.12986,0.974551,0.00222386,10,1023,0,11.477,0.521187,0.901265,1.62446,-0.670922,-3.36071,-0.306915,1.57438,1.85232,0.324227,0.336855,0.453243,0.38731,0.557,0.642398,0.998524,5.96527,3.90815,5.9847,5.03041,5.98813,2.10514,4.89913,0.001
-5.88187,0.972363,0.00222386,9,1023,0,13.058,0.520049,0.905348,1.64236,-0.67741,-3.3921,-0.304969,1.58609,1.86595,0.324327,0.335522,0.450649,0.38685,0.555674,0.644291,1.00059,5.98196,5.7389,2.38698,5.56232,5.05928,5.58898,5.81208,0.001
-5.51447,0.805094,0.00222386,9,1023,0,12.5628,0.523347,0.903569,1.61465,-0.675414,-3.34783,-0.303337,1.56929,1.8602,0.323333,0.335863,0.451924,0.387722,0.557947,0.646409,0.999011,5.37107,5.43949,4.99548,4.37563,5.5744,5.23978,5.49988,0.001
-4.37528,0.953092,0.00222386,10,1023,0,8.79428,0.520355,0.901395,1.63157,-0.668815,-3.37177,-0.309295,1.5796,1.89287,0.324387,0.337082,0.453883,0.387111,0.557628,0.646265,0.999548,5.98719,3.4184,5.83755,5.28648,5.8142,5.40544,5.88679,0.001
-2.86876,0.999164,0.00222386,10,1023,0,6.6615,0.511211,0.889307,1.67918,-0.634522,-3.44308,-0.331317,1.61,1.89465,0.324179,0.334537,0.451359,0.386044,0.557244,0.646385,1.0001,5.95346,5.95025,4.03995,5.98188,5.96746,5.2693,5.98358,0.001
-1.93349,0.998985,0.00222386,10,1023,0,6.75117,0.511635,0.892251,1.67496,-0.641491,-3.43698,-0.329189,1.60831,1.9224,0.324305,0.336018,0.45399,0.385255,0.556136,0.645798,0.999619,5.97912,5.26472,5.773,5.76395,5.58278,5.80104,5.91627,0.001
-1.57871,0.999848,0.00222386,10,1023,0,4.19346,0.510216,0.888446,1.68851,-0.626315,-3.46102,-0.339684,1.61974,1.87559,0.323605,0.334381,0.452731,0.385968,0.557313,0.645189,1.00128,5.6363,5.89459,5.80736,5.98792,5.95075,5.98881,5.17107,0.001
-3.8712,0.997578,0.00222386,10,1023,0,5.46413,0.522341,0.907895,1.63263,-0.678734,-3.38043,-0.306835,1.58385,1.89679,0.323692,0.336446,0.4535,0.387181,0.556809,0.645055,1.00163,5.7055,4.65764,5.97495,5.20095,5.96272,5.98039,4.65852,0.001
-3.64525,0.993793,0.00222386,9,511,0,5.3179,0.523616,0.906497,1.62014,-0.676731,-3.36298,-0.307026,1.57785,1.8985,0.322672,0.335856,0.453374,0.387492,0.556495,0.645553,1.00003,4.41806,5.44629,5.98797,4.76205,5.84173,5.92123,5.98841,0.001
-6.05164,0.929181,0.00222386,7,127,0,7.07806,0.525075,0.907464,1.61529,-0.676499,-3.35975,-0.308484,1.57807,1.89875,0.321983,0.335533,0.453784,0.388002,0.556411,0.645763,1.00034,2.96039,5.7309,5.88734,3.83467,5.79312,5.82172,5.93106,0.001
-6.5766,0.943685,0.00222386,8,255,0,11.8691,0.522184,0.904012,1.6137,-0.681955,-3.33976,-0.29723,1.56356,1.89557,0.324284,0.336882,0.452008,0.386684,0.557611,0.646315,0.997823,5.97601,3.85126,5.11052,5.7018,5.82403,5.35043,3.61917,0.001
-6.46501,0.993594,0.00222386,9,767,0,9.44639,0.525579,0.913309,1.60958,-0.693235,-3.34706,-0.298315,1.57086,1.90357,0.322527,0.336868,0.454674,0.386564,0.555844,0.646283,1.00016,4.15063,3.88102,5.08993,5.78522,5.27657,5.38623,5.97576,0.001
-7.06544,0.93336,0.00222386,8,255,0,9.96851,0.527585,0.91319,1.60805,-0.691542,-3.34802,-0.298226,1.57072,1.90063,0.322484,0.335575,0.452279,0.388306,0.55706,0.645409,1.00164,4.0666,5.69998,5.43302,3.15711,5.98856,5.96374,4.63596,0.001
-3.66461,0.983037,0.00222386,8,511,0,9.74352,0.52613,0.913804,1.60503,-0.696243,-3.33584,-0.293817,1.56395,1.90001,0.322652,0.336371,0.45283,0.386626,0.557449,0.644656,1.00057,4.3826,4.77747,5.86217,5.74378,5.90384,5.84864,5.82673,0.001
