# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x462s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_data_3.R
# init = 2 (Default)
# random
#   seed = 2827660791 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 fa623df
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,b.6,log_sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,sigma
# Adaptation terminated
# Step size = 0.00263518
# Diagonal elements of inverse mass matrix:
# 7.05865e-05, 0.000195989, 0.00158701, 0.00134442, 0.00355954, 0.000570746, 0.000735543, 0.00282281
-6.1877,0.998766,0.00263518,6,127,0,7.45716,0.506857,0.889966,1.69573,-0.629711,-3.46508,-0.337984,1.62028,1.18906,0.323194,0.334672,0.453266,0.383109,0.557358,0.646539,1.00085,5.20727,5.97857,5.98658,2.02108,5.93741,5.07273,5.62446,0.001
-2.64842,0.999347,0.00263518,7,127,0,7.84592,0.507484,0.88638,1.69735,-0.629047,-3.46532,-0.33434,1.61759,1.18147,0.325545,0.335305,0.451592,0.3852,0.557167,0.64529,1.00027,5.3836,5.86846,4.47356,5.72552,5.98031,5.98336,5.9525,0.001
-0.839624,0.939367,0.00263518,8,511,0,6.67265,0.510284,0.886194,1.68162,-0.626763,-3.44578,-0.33655,1.6121,1.16569,0.32447,0.335276,0.452989,0.386195,0.557452,0.644274,0.999704,5.98849,5.88251,5.92959,5.95266,5.90275,5.57409,5.94501,0.001
-3.96735,0.999951,0.00263518,10,1023,0,6.06062,0.516643,0.905117,1.65739,-0.674348,-3.41036,-0.308402,1.59328,1.21234,0.324647,0.336202,0.451893,0.385109,0.556202,0.64462,1.00142,5.96838,5.02658,4.95085,5.6553,5.64024,5.82887,4.97571,0.001
-3.72042,0.880556,0.00263518,9,895,0,9.33999,0.51805,0.905823,1.64721,-0.674166,-3.39672,-0.308784,1.58886,1.2168,0.323387,0.335526,0.451906,0.385118,0.556603,0.643961,1.00112,5.42974,5.73584,4.97054,5.66238,5.89479,5.23928,5.35962,0.001
-1.05621,0.980804,0.00263518,10,1023,0,6.75547,0.513051,0.893221,1.67581,-0.641696,-3.4415,-0.329453,1.61018,1.18124,0.324406,0.335507,0.453074,0.386364,0.556745,0.645208,1.00105,5.98807,5.74938,5.95523,5.89284,5.94619,5.98855,5.43815,0.001
-1.49409,0.817275,0.00263518,10,1023,0,3.58819,0.515989,0.894564,1.653,-0.649318,-3.40577,-0.322165,1.59497,1.22125,0.323731,0.335405,0.452627,0.386679,0.556803,0.644726,0.999215,5.73431,5.81444,5.73911,5.70513,5.96133,5.88336,5.68109,0.001
-2.93983,0.991642,0.00263518,10,1023,0,4.989,0.516164,0.900032,1.65748,-0.662135,-3.41209,-0.316331,1.5964,1.15719,0.324744,0.336815,0.453869,0.385934,0.55604,0.644763,1.00038,5.94385,3.98916,5.8452,5.98879,5.49206,5.89952,5.91487,0.001
-2.29018,0.965695,0.00263518,10,1023,0,8.57187,0.505248,0.875874,1.7097,-0.599458,-3.48843,-0.353087,1.63097,0.941576,0.324848,0.334035,0.451887,0.386757,0.557948,0.645216,1.00006,5.90729,5.68481,4.9424,5.64311,5.57359,5.98833,5.98704,0.001
-2.05347,0.958393,0.00263518,10,1023,0,7.25949,0.496983,0.865347,1.75159,-0.568797,-3.5538,-0.375682,1.66115,0.885534,0.324865,0.33339,0.453123,0.385518,0.555979,0.645715,0.999696,5.90041,4.97368,5.9666,5.90551,5.42923,5.84852,5.94264,0.001
-3.11196,0.886253,0.00263518,10,1023,0,8.56445,0.500437,0.865608,1.73894,-0.567506,-3.54131,-0.3773,1.65823,0.827803,0.324233,0.333105,0.453644,0.38734,0.556067,0.645126,0.999858,5.96652,4.52657,5.94054,4.9896,5.51844,5.98704,5.97869,0.001
-2.95217,0.798355,0.00263518,10,1023,0,5.93404,0.505976,0.878585,1.70085,-0.610165,-3.47131,-0.345819,1.62291,0.776172,0.325581,0.335696,0.453513,0.386071,0.557494,0.646752,0.999035,5.34339,5.60066,5.97275,5.97823,5.88459,4.76106,5.52309,0.001
-2.82916,0.997335,0.00263518,10,1023,0,7.50484,0.514037,0.890917,1.65425,-0.641156,-3.40176,-0.325714,1.59316,0.766722,0.323609,0.335613,0.453198,0.385921,0.558308,0.644434,0.998606,5.6395,5.66992,5.97971,5.9888,5.18161,5.70685,5.01705,0.001
-5.18895,0.99732,0.00263518,10,1023,0,11.6446,0.503793,0.883728,1.72285,-0.618374,-3.5052,-0.344334,1.63522,0.768063,0.32647,0.336027,0.453295,0.384774,0.556523,0.644628,1.00165,3.93638,5.25355,5.98809,5.32547,5.85659,5.83351,4.63523,0.001
-3.88619,0.589783,0.00263518,8,255,0,10.2411,0.505032,0.884687,1.71722,-0.61401,-3.50621,-0.35036,1.63958,0.765204,0.323812,0.33407,0.453194,0.384721,0.55524,0.645221,1.00139,5.78889,5.71144,5.97912,5.26319,4.37353,5.98817,5.02727,0.001
-1.5389,0.998908,0.00263518,10,1023,0,6.3302,0.507162,0.882749,1.70175,-0.611617,-3.4821,-0.35032,1.6306,0.910664,0.323794,0.334807,0.454544,0.385776,0.556164,0.644837,1.00031,5.77733,5.98878,5.25546,5.97765,5.60808,5.9281,5.94221,0.001
-3.61324,0.859058,0.00263518,5,31,0,3.98241,0.507179,0.882896,1.70079,-0.612075,-3.48235,-0.349984,1.63075,0.910856,0.323177,0.333932,0.453458,0.385627,0.55529,0.643987,0.999758,5.18503,5.59924,5.98102,5.94406,4.46334,5.27116,5.95943,0.001
-5.40922,0.993849,0.00263518,10,1023,0,9.66895,0.516598,0.894684,1.65433,-0.649405,-3.41242,-0.322823,1.59863,0.970503,0.32365,0.33499,0.452215,0.38732,0.555621,0.647175,0.999098,5.67336,5.97354,5.36315,5.01682,4.9856,4.00921,5.58227,0.001
-1.30328,0.999933,0.00263518,8,319,0,8.7101,0.516235,0.895071,1.65426,-0.648215,-3.40814,-0.323792,1.5965,0.972379,0.323759,0.335684,0.45337,0.386825,0.557602,0.644965,1.00015,5.75377,5.61147,5.98813,5.58506,5.82929,5.96453,5.97745,0.001
-1.51038,0.983604,0.00263518,10,1023,0,3.874,0.514286,0.896513,1.66556,-0.654408,-3.4222,-0.319582,1.59994,1.02777,0.324856,0.336063,0.452488,0.3859,0.556534,0.645463,1.00026,5.90433,5.21042,5.63138,5.98848,5.86237,5.95022,5.95613,0.001
-1.59196,0.991192,0.00263518,10,1023,0,3.8003,0.510065,0.885649,1.67728,-0.625518,-3.4386,-0.337586,1.61017,0.998086,0.323964,0.335545,0.454103,0.385663,0.557298,0.645432,0.998799,5.87333,5.72208,5.69262,5.95419,5.9548,5.95829,5.26711,0.001
-3.68346,0.997486,0.00263518,10,1023,0,5.31598,0.524062,0.907324,1.61199,-0.684652,-3.34499,-0.298917,1.56779,0.99732,0.323328,0.336285,0.45239,0.387177,0.55674,0.645508,0.998936,5.36513,4.90762,5.54411,5.20602,5.94484,5.93662,5.42234,0.001
-6.52235,0.968888,0.00263518,10,1023,0,9.61193,0.524462,0.908202,1.61034,-0.685476,-3.34279,-0.297737,1.56638,1.21606,0.322587,0.335078,0.450627,0.387103,0.557405,0.645619,0.999436,4.26463,5.95408,2.32718,5.29602,5.92098,5.89491,5.82988,0.001
-7.0821,0.98836,0.00263518,8,303,0,9.67717,0.522705,0.911386,1.62487,-0.692749,-3.36447,-0.297289,1.57542,1.20004,0.324518,0.337986,0.454522,0.386119,0.555515,0.645539,1.00019,5.98613,0.961961,5.2827,5.97026,4.83077,5.9262,5.97105,0.001
-5.99668,0.999729,0.00263518,7,239,0,10.2713,0.520764,0.908954,1.62462,-0.686578,-3.36086,-0.298575,1.57318,1.20336,0.322592,0.335349,0.451149,0.384799,0.556268,0.646079,0.999183,4.27285,5.84627,3.60343,5.35387,5.6931,5.58933,5.6554,0.001
-7.78689,0.960826,0.00263518,4,31,0,10.4062,0.520859,0.909336,1.62713,-0.686182,-3.35942,-0.299345,1.57209,1.2029,0.324238,0.337774,0.45416,0.385101,0.559005,0.645363,1.00115,5.96761,1.61157,5.64688,5.64838,4.05166,5.97293,5.32496,0.001
-6.50024,0.99656,0.00263518,9,671,0,12.6204,0.522425,0.903125,1.62813,-0.667121,-3.37656,-0.31243,1.58391,1.2472,0.322313,0.334569,0.451817,0.387944,0.556837,0.64649,1.00032,3.71805,5.95871,4.83863,3.95271,5.96889,5.13724,5.93709,0.001
-4.47211,0.971129,0.00263518,8,383,0,8.70136,0.522327,0.904941,1.62921,-0.670655,-3.37746,-0.31125,1.58391,1.25162,0.322459,0.33504,0.452453,0.387476,0.556719,0.644207,1.00073,4.01756,5.96342,5.60098,4.78819,5.93835,5.51063,5.7204,0.001
-1.51041,0.999986,0.00263518,10,1023,0,6.17179,0.514453,0.892126,1.66347,-0.64016,-3.42397,-0.329309,1.60382,1.19948,0.323436,0.334866,0.452737,0.386733,0.556649,0.64442,0.999726,5.48059,5.98752,5.81092,5.66352,5.91369,5.69577,5.95128,0.001
-2.31805,0.984839,0.00263518,10,1023,0,4.79862,0.516731,0.895426,1.65049,-0.649537,-3.40396,-0.323454,1.59535,1.1227,0.323501,0.335753,0.453787,0.386819,0.556723,0.64405,0.99946,5.54367,5.54847,5.88595,5.58969,5.93952,5.34451,5.84291,0.001
-3.77323,0.959136,0.00263518,10,1023,0,6.47489,0.512923,0.891033,1.67468,-0.633568,-3.44354,-0.336532,1.61416,1.18391,0.323626,0.335684,0.455137,0.386506,0.556263,0.64643,1.00044,5.65411,5.6108,4.36249,5.82035,5.68903,5.21442,5.89025,0.001
